"",,,,,Position,,
"",,,,Type de la,,,
Nom,Taille,Début,Fin,,dans la,Obligatoire,Consignes
"",,,,norme (B2 *),,,
"",,,,,norme,,
"",,,,,,,"A prendre sur l’attestation de droits, la carte Vitale ou la prise en"
N° immatriculation assuré,13,1,13,2,déc-24,O,
"",,,,,,,charge.
"",,,,,,,"A prendre sur l’attestation de droits, la carte Vitale ou la prise en"
Clé du N° immatriculation,2,14,15,2,25-26,O,
"",,,,,,,charge.. Clé à contrôler après la saisie annexe 5
"",,,,,,,"A prendre sur l’attestation de droits, la carte Vitale ou la prise en"
Code Grand Régime,2,16,17,2,49-50,O,
"",,,,,,,charge. Voir codification annexe 2
"",,,,,,,Reporter l’information figurant dans la zone « régime
Code gestion,2,18,19,,,O,
"",,,,,,,obligatoire » de la carte vitale
"",,,,,,,Indiquer ici la date de naissance du bénéficiaire. ATTENTION
Date de naissance du bénéficiaire,8,20,27,2,96-101,O,
"",,,,,,,format différent de B2 JJMMAAAA
Sexe du bénéficiaire,1,28,28,,,O,
N° administratif de séjour,20,29,48,,,O,
N° format VID-HOSP,4,49,52,,,O,V012
N° FINESS d’inscription  e-PMSI,9,53,61,,,O,
"",,,,,,,"A renseigner si l’information est présente sur la carte Vitale,"
N° immatriculation individuel,13,62,74,2S,50-62,F,"l’attestation Clé à contrôler après la saisie, cf. annexe 5  de la"
"",,,,,,,norme B2
"",,,,,,,
"",,,,,,,A prendre sur le même support que le n° immatriculation. Clé à
Clé du N° immatriculation individuel,2,75,76,2S,63-64,F,
"",,,,,,,"contrôler après la saisie, cf. annexe 5  de la norme B2"
"",,,,,,,Précise et justifie l’exonération ou la modulation du ticket
"",,,,,,,modérateur appliqué aux soins facturés. Cf. codification annexe
Justification d’exonération ou de modulation du,,,,,,,
"",1,77,77,2,79,O,"9. Cette justification vaut pour la totalité de la facture, sauf"
ticket modérateur,,,,,,,
"",,,,,,,indication contraire au niveau de la ligne dans le type 3 (position
"",,,,,,,64) ou le Type 4 (position 54) en Norme CP.
Code de prise en charge du forfait journalier,1,78,78,3,70,F,
"",,,,,,,10 : maladie / 13 : maladie régime local Alsace-Moselle / 30 :
Nature d’assurance,2,79,80,2,77-78,O,
"",,,,,,,maternité / 41 : accident du travail / 90 : prévention maladie
"",,,,,,,Indiquer le type de contrat codification fournie par la caisse. 85 :
"",,,,,,,sortants du dispositif CMUC (géré par un organisme obligatoire)
"",,,,,,,87 : sortants du dispositif CMUC (géré par un organisme
Type de contrat,2,81,82,2,117-118,F,
"",,,,,,,complémentaire) 88 : aide à la mutualisation (panier de biens =
"",,,,,,,panier CMUC) 89 : bénéficiaire de la CMU complémentaire (en
"",,,,,,,"cours), quel que soit le gestionnaire"
Séjour facturable à l'assurance maladie,1,83,83,,,O,
Motif de la non facturation à l'assurance maladie,1,84,84,,,N,
"",,,,,,,Participation forfaitaire de 18€ en cas de réalisation d’actes
Facturation du 18 €,1,85,85,,,O,
"",,,,,,,coûteux au cours de la prise en charge
Nombre de venues de la facture,4,86,89,,,O,
Montant à facturer au titre du TM,10,90,99,,,O,
Montant à facturer au titre du FJ,10,100,109,,,O,
Montant total du séjour remboursable pour l'AMO,,,,,,,
"",10,110,119,,,O,
"(i.e. hors prestations annexes)",,,,,,,
Montant lié à la majoration au parcours de soins,4,120,123,,,O,
Montant base remboursement,10,124,133,,,O,
"",,,,,,,
Taux de remboursement,5,134,138,,,O,
Patient bénéficiaire de la CMU,1,139,139,,,F,"0 : Non | 1 : Oui, laisser à vide si pas d'information"
"",,,,,,,A renseigner pour tous les nouveau-nés dont la mère est
N° administratif de séjour de la mère,20,140,159,,,F,
"",,,,,,,hospitalisée dans l’établissement
Hospitalisation d'un nouveau-né auprès de la mère,1,160,160,,,F,1 pour oui laisser à vide sinon
Hospitalisation pour prélèvement d'organe,1,161,161,,,F,1 pour oui laisser à vide sinon
"",,,,,,,Date du début de l’hospitalisation quel que soit l’établissement
Date de l’hospitalisation,8,162,169,2,80-85,O,(en cas de transfert par exemple). ATTENTION format différent
"",,,,,,,de B2 JJMMAAAA
"",,,,,,,"Dans le cas d’un séjour normal, il doit correspondre au montant"
"",,,,,,,du reste à charge patient hors prestations annexes. Il doit être
Montant total du séjour remboursable pour l'AMC,10,170,179,,,O,
"",,,,,,,renseigné même si le patient n’a pas d’assurance
"",,,,,,,complémentaire.
Code participation assuré,1,180,180,3,117,F,
N° d’entrée,9,181,189,2,40-48,O,N° attribué par l’établissement
Rang de naissance,1,190,190,2,102,F,
"",,,,,,,Valeur 000 pour le régime général. A prendre sur l’attestation de
Rang du bénéficiaire,3,191,193,2,27-29,F,
"",,,,,,,droits ou la prise en charge pour autres régimes si présent
"",,,,,,,"A prendre sur l’attestation de droits, la carte Vitale ou la prise en"
N° caisse gestionnaire,3,194,196,2,51-53,O,
"",,,,,,,charge. Voir codification annexe 3
"",,,,,,,"A prendre sur l’attestation de droits, la carte Vitale ou la prise en"
N° centre gestionnaire,4,197,200,2,54-57,O,"charge. Pour le RSI : cadrage du numéro de centre à gauche, le"
"",,,,,,,4ème caractère doit être renseigné par un 0 en position 57
Filler,30,201,230,,,F,Réservé pour usage futur ;
Confirmation de la prise en charge dans le cadre,,,,,,,
"",1,231,231,,,,1 pour oui laisser à vide sinon
du dispositif des soins urgents,,,,,,,
"",,,,,,,
"",,,,,,,L’organisme obligatoire peut selon conventions régler
"",,,,,,,directement la part de l’organisme complémentaire à
"",,,,,,,l’établissement ou à l’assuré ou transmettre l’image de son
"",,,,,,,décompte à l’organisme complémentaire. Lorsque
Numéro accident du travail ou date d’accident de,,,,,,,
"",9,232,240,2,86-94,F,l’établissement pratique un tiers payant sur la part
droit commun,,,,,,,
"",,,,,,,"complémentaire, il doit obligatoirement positionner le n° de"
"",,,,,,,"l’organisme complémentaire, cadré à droite, et complété par des"
"",,,,,,,"zéros à gauche, ou le top mutualiste «M » en position 128, la"
"",,,,,,,zone étant complétée par des blancs.
"",,,,,,,L’organisme obligatoire peut selon conventions régler
"",,,,,,,directement la part de l’organisme complémentaire à
"",,,,,,,l’établissement ou à l’assuré ou transmettre l’image de son
"",,,,,,,décompte à l’organisme complémentaire. Lorsque
N° d’organisme complémentaire,10,241,250,2,119-128,F,l’établissement pratique un tiers payant sur la part
"",,,,,,,"complémentaire, il doit obligatoirement positionner le n° de"
"",,,,,,,"l’organisme complémentaire, cadré à droite, et complété par"
